Best_Source,Count,WithinCount,AvgDistance,Pct,WithinPct
etnow_nifty50.csv,30,0,3904.3849999999998,11.583011583011583,0.0
economictimeslive_nifty50.csv,28,4,2975.503571428572,10.81081081081081,14.285714285714285
moneycontrol_nifty50.csv,28,0,4164.323214285714,10.81081081081081,0.0
indiatodaybusiness_nifty50.csv,26,2,3806.4403846153846,10.038610038610038,7.6923076923076925
timesnowbusiness_nifty50.csv,26,1,3348.638461538462,10.038610038610038,3.8461538461538463
mint_nifty50.csv,25,0,4205.874,9.652509652509652,0.0
ndtvprofit_nifty50.csv,25,0,3460.8879999999995,9.652509652509652,0.0
cnbc_nifty50.csv,19,2,4497.868421052632,7.335907335907336,10.526315789473683
NONE,18,18,,6.94980694980695,100.0
bloomberg_nifty50.csv,18,0,4445.275,6.94980694980695,0.0
financialexpress_nifty50.csv,16,0,4313.165625,6.177606177606178,0.0
