Best_Source,Count,WithinCount,AvgDistance,Pct,WithinPct
economictimeslive_nifty50_3year.csv,32,2,3268.7140624999993,4.221635883905013,6.25
bloomberg_nifty50_3year.csv,28,3,4314.628571428571,3.6939313984168867,10.714285714285714
mint_nifty50_3year.csv,28,3,3252.95,3.6939313984168867,10.714285714285714
ndtvprofit_nifty50_3year.csv,27,0,4231.811111111111,3.562005277044855,0.0
cnbc_nifty50_3year.csv,26,0,3973.294230769231,3.430079155672823,0.0
moneycontrol_nifty50_3year.csv,23,2,4030.4999999999995,3.034300791556728,8.695652173913043
etnow_nifty50_3year.csv,21,1,3032.102380952381,2.7704485488126647,4.761904761904762
financialexpress_nifty50_3year.csv,19,0,4160.831578947368,2.5065963060686016,0.0
timesnowbusiness_nifty50_3year.csv,19,0,4161.089473684211,2.5065963060686016,0.0
indiatodaybusiness_nifty50_3year.csv,18,0,4420.097222222223,2.3746701846965697,0.0
